"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/TestMonster/Materials/WireYellow.WireYellow","0","24","24","1","13.138761","0","0"
"/Game/TestMonster/Materials/WireRed.WireRed","0","24","24","1","12.117021","0","0"
"/Game/TestMonster/Materials/WireBlack.WireBlack","0","24","24","1","11.666460","0","0"
"/Game/TestMonster/Materials/SuitTeeth.SuitTeeth","0","24","24","1","11.675739","0","0"
"/Game/TestMonster/Materials/Springtrap3.Springtrap3","0","24","24","1","11.794703","0","0"
"/Game/TestMonster/Materials/Springtrap2.Springtrap2","0","24","24","1","11.698256","0","0"
"/Game/TestMonster/Materials/Springtrap1.Springtrap1","0","24","24","1","11.506708","0","0"
"/Game/TestMonster/Materials/Shadeless.Shadeless","0","24","24","1","11.537847","0","0"
"/Game/TestMonster/Materials/Pupil.Pupil","0","24","24","1","11.000222","0","0"
"/Game/TestMonster/Materials/FleshWire.FleshWire","0","24","24","1","11.359249","0","0"
"/Game/TestMonster/Materials/Flesh.Flesh","0","24","24","1","11.266077","0","0"
"/Game/TestMonster/Materials/Eyecase.Eyecase","0","24","24","1","11.324147","0","0"
"/Game/TestMonster/Materials/Eye.Eye","0","24","24","1","10.906581","0","0"
"/Game/TestMonster/Materials/Endo2.Endo2","0","24","24","1","10.852263","0","0"
"/Game/TestMonster/Materials/Endo1.Endo1","0","24","24","1","10.673740","0","0"
"/Game/TestMonster/Materials/CorpseTeeth.CorpseTeeth","0","24","24","1","10.956527","0","0"
"/Game/TestMonster/Materials/ButtonLowPoly.ButtonLowPoly","0","24","24","1","10.628260","0","0"
"/Game/TestMonster/Materials/Button.Button","0","24","24","1","10.740573","0","0"
"/Game/TestMonster/Materials/__phy.__phy","0","56","56","1","26.336666","0","0"
