"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/TestMonster/WireYellow.WireYellow","0","24","24","1","9.723541","0","0"
"/Game/TestMonster/WireRed.WireRed","0","24","24","1","9.449630","0","0"
"/Game/TestMonster/WireBlack.WireBlack","0","24","24","1","9.553474","0","0"
"/Game/TestMonster/SuitTeeth.SuitTeeth","0","24","24","1","9.572431","0","0"
"/Game/TestMonster/Springtrap3.Springtrap3","0","24","24","1","9.516375","0","0"
"/Game/TestMonster/Springtrap2.Springtrap2","0","24","24","1","9.559663","0","0"
"/Game/TestMonster/Springtrap1.Springtrap1","0","24","24","1","9.483371","0","0"
"/Game/TestMonster/__phy.__phy","0","56","56","1","23.302053","0","0"
"/Game/TestMonster/Shadeless.Shadeless","0","24","24","1","8.816868","0","0"
"/Game/TestMonster/Pupil.Pupil","0","24","24","1","8.820512","0","0"
"/Game/TestMonster/FleshWire.FleshWire","0","24","24","1","8.715135","0","0"
"/Game/TestMonster/Flesh.Flesh","0","24","24","1","8.896909","0","0"
"/Game/TestMonster/Eyecase.Eyecase","0","24","24","1","8.937633","0","0"
"/Game/TestMonster/Eye.Eye","0","24","24","1","8.761737","0","0"
"/Game/TestMonster/Endo2.Endo2","0","24","24","1","9.071634","0","0"
"/Game/TestMonster/Endo1.Endo1","0","24","24","1","9.064570","0","0"
"/Game/TestMonster/CorpseTeeth.CorpseTeeth","0","24","24","1","9.235520","0","0"
"/Game/TestMonster/ButtonLowPoly.ButtonLowPoly","0","24","24","1","9.938432","0","0"
"/Game/TestMonster/Button.Button","0","24","24","1","10.060119","0","0"
