"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/TV/TVBox_MAT.TVBox_MAT","0","0","18","1","0.000000","0","0"
"/Game/TV/M_TVGlass.M_TVGlass","0","0","42","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold_2.M_Metal_Gold_2","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels_2.M_Concrete_Panels_2","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor_2.M_Basic_Floor_2","0","0","21","1","0.000000","0","0"
"/Game/Lights/OfficeBulb_MAT.OfficeBulb_MAT","0","0","21","1","0.000000","0","0"
"/Game/Lights/ConstructionLight/LightConstruction_MAT.LightConstruction_MAT","0","0","12","1","0.000000","0","0"
"/Game/Lights/ConstructionLight/YellowConstruction_MAT.YellowConstruction_MAT","0","0","12","1","0.000000","0","0"
"/Game/Lights/ConstructionLight/BlackConstruction_MAT.BlackConstruction_MAT","0","0","18","1","0.000000","0","0"
"/Game/Lights/Material_001.Material_001","0","0","21","1","0.000000","0","0"
"/Game/Lights/Light_MAT.Light_MAT","0","0","21","1","0.000000","0","0"
"/Game/Lights/Bulb_MAT.Bulb_MAT","0","0","40","1","0.000000","0","0"
"/Game/Materials/Master_Simple.Master_Simple","0","0","81","1","0.000000","0","0"
"/Game/Gramophone/Gramophone_MAT.Gramophone_MAT","0","0","12","1","0.000000","0","0"
"/Game/EscapeDoor/ExitSign/DefaultTextMaterialOpaque_ExitSign.DefaultTextMaterialOpaque_ExitSign","0","0","35","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/EscapeDoor/ExitSign/ExitSign_MAT.ExitSign_MAT","0","0","12","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_TV.M_TV","0","0","21","1","0.000000","0","0"
"/Game/CameraSystem/CameraLight_MAT.CameraLight_MAT","0","0","28","1","0.000000","0","0"
"/Game/CameraSystem/CameraCasing_MAT.CameraCasing_MAT","0","0","12","1","0.000000","0","0"
"/Game/CameraSystem/CameraGlass_MAT.CameraGlass_MAT","0","0","12","1","0.000000","0","0"
